,Year,Duration_Minutes,Themes,Genres,Title,English,Rating,Source,Synopsis,Episodes,Premiered
1294,2009.0,23.0,Historical  Martial Arts  Samurai  Super Power,Action,Sengoku Basara,Sengoku Basara Samurai Kings,pg    teens  or older,Game,in the sengoku period  the struggle for power and unification has brought endless bloodshed to the unstable japan  out of all the warring generals  nobunaga oda the  demon king of owari  has established himself as the strongest ruler  friend or foe  he is determined to crush anyone who stands in his way of creating a tyrannical central government     the only two who dare rebel against oda are the  one eyed dragon of oshu  masamune date  and the distinguished but hot blooded warrior of the takeda clan  yukimura sanada  though they share the goal of preventing oda from unifying the domains  masamune and yukimura cannot see eye to eye  equally skilled in combat  mutual admiration for one another causes these two feuding warriors to forge a fierce rivalry  thwarting any attempts to form a united front against the demon king of owari     with oda s forces closing in on their respective territories  masamune and yukimura reluctantly learn to put aside their differences and fight together against the threatening usurpator     written by mal rewrite,12.0,Spring 2009
3860,2014.0,24.0,Historical  Mecha,Action,Fuuun Ishin Dai Shogun,Dai-Shogun Great Revolution,r      violence   profanity,Original,in the late edo period  japan had experienced an unprecedented crisis by kurofune  black ships   the ships from foreign countries  but a giant robot called onigami  which has existed since ancient time  dispelled the kurofune ships and the exclusion of foreigners was accomplished  the story begins in japan where meiji restoration in   didn t happen  the tagline says   i can be the greatest man in the world  because i am a virgin      source  crunchyroll,12.0,Spring 2014
7897,2010.0,12.0,Historical  Mecha,Action,SD Gundam Sangokuden Brave Battle Warriors,Unknown,pg   children,Original,a romance of the three kingdoms retelling using sd gundams,51.0,Spring 2010
2103,2020.0,25.0,Historical  Military,Action,Kingdom rd Season,Kingdom Season 3,r      violence   profanity,Manga,following the successful sanyou campaign  the qin army  including     man commander xin  inches ever closer to fulfilling king ying zheng s dream of unifying china  with a major geographical foothold in the state of wei now under its control  qin sets its sights eastward toward the remaining warring states    meanwhile li mu an unparalleled strategist and the newly appointed prime minister of the state of zhao has taken advantage of zhao s temporary truce with qin to negotiate with the other states without interruption  seemingly without warning  ying zheng receives news that armies from the states of chu  zhao  wei  han  yan  and qi have crossed into qin territory  realizing too late the purpose behind li mu s truce with qin  zheng quickly gathers his advisors to devise a plan to address the six state coalition army on their doorstep  for the first time in history  the state of qin faces complete destruction and must use every resource and strategy at their disposal to prevent themselves from being wiped off the map     written by mal rewrite,26.0,Spring 2020
3136,2022.0,24.0,Historical  Military,Action,Kingdom th Season,Kingdom Season 4,r      violence   profanity,Manga,following the conclusion of the large scale coalition campaign  the entirety of china is in a state of economic recovery  the victor of the battle  the state of qin  is no different  there  the political parties led by ying zheng and buwei l  continue their inner conflict  having played the role of king in the coalition battle  zheng has the trust of the people but l  is far from out of the fight  in   months  he plans to interrupt zheng s coming of age ceremony    meanwhile  a zhao army numbering     troops has set out toward qin  in the royal court  due to the lack of generals capable of responding to the incoming threat  l  slyly suggests that zheng take command  however  cheng jiao  zheng s half brother  volunteers instead  as they grew to trust each other during the coalition battle  zheng now accepts jiao as his replacement    however  the zhao forces retreat a mere half day after clashing with jiao s army  with trouble quickly brewing in the shadows  the internal struggle of qin is only complicated further  there are only two men zheng feels he can rely on  bi  a general who commands     men  and xin  the leader of the fei xin force     written by mal rewrite,26.0,Spring 2022
1063,2012.0,25.0,Historical  Military,Action,Kingdom,Kingdom,r      violence   profanity,Manga,china s warring states period  a raging dragon that would raze the land for   years  saw many kingdoms rise and fall  making way for the next generation of kings and generals to fight for supremacy  eventually  seven powerful states emerged from the endless cycle of warfare    in the kingdom of qin  xin  a war orphaned slave  trains vigorously with fellow slave and best friend  piao  who shares his proud dream of one day becoming a great general of the heavens  however  the two are suddenly forced to part ways when piao is recruited to work in the royal palace by a retainer of the king    after a fierce coup d  tat unfolds  piao returns to xin  half dead  with a mission that will lead him to a meeting with china s young king  ying zheng  who bears a striking resemblance to piao  kingdom follows xin as he takes his first steps into the great blood soaked pages of china s history  he must carve his own path to glory on his long quest to become a great general of the historic seven warring states     written by mal rewrite,38.0,Summer 2012
1210,2016.0,25.0,Historical  Military,Action,Shuumatsu no Izetta,Izetta The Last Witch,r      violence   profanity,Original,after germania invaded a neighboring country in    europe spiraled into a devastating war  during the war  germania set its sights on the weak alpine country of elystadt  boasting a far superior military and having achieved profuse success earlier in the war  it was expected that germania would conquer elystadt with ease    matters are only made worse for the small country when germanian soldiers capture their princess  ortfin   fin   fredericka von eylstadt  as she is heading to a crucial meeting with britannia  yet  when a concurrent germanian transport mission goes awry  izetta  the last witch alive  escapes  when she recognizes princess fin  from her childhood  izetta rescues her from the germanian soldiers by making use of her magical abilities  now reunited with the princess  izetta pledges to protect elystadt from germania  and with the last surviving witch on their arsenal  elystadt hopes to turn the tides against the imperialist war giant      written by mal rewrite,12.0,Fall 2016
1693,2013.0,25.0,Historical  Military,Action,Kingdom nd Season,Kingdom Season 2,r      violence   profanity,Manga,a year after the devastating battle against the formidable zhao  the state of qin has returned its focus to pursuing king ying zheng s ambition of conquering the other six states and unifying china  their next target is wei  a smaller state which stands as a geographic stepping stone for the sake of conquest    xin  now a three hundred man commander of the swiftly rising fei xin unit  continues to seek out lofty achievements in order to garner recognition for himself and his soldiers  motivated by those previously lost in battle  in the preliminary battles ahead of qin s invasion of wei  xin finds competition in other young commanders who are of a higher social status than him  back in qin  the royal palace faces turmoil as opposing factions begin to make their move against ying zheng s regime    with their hands full both abroad and at home  zheng and xin must lead the way in this era of unending war  resolved to etch their names in history by creating a unified china     written by mal rewrite,39.0,Summer 2013
2939,2010.0,23.0,Historical  Military  Super Power,Action,Senkou no Night Raid,Night Raid 1931,r      violence   profanity,Original,the year is    the city is shanghai  ten years before america will enter world war ii  the hydra s teeth planted by the first great global conflict are beginning to germinate  hatching like spiders  they weave the complex web of plots and conspiracies destined to inevitably draw entire nations to the brink of destruction  caught in the heart of these webs  desperately seeking to separate lies from truth  is  sakurai kikan   an ultra secret intelligence agency staffed by extraordinarily talented individuals with abilities far beyond those of normal humans  their duty  to stop the darkest plots and eliminate the greatest threats  but in a city built on intrigue  can even a team of clairvoyants  telepaths and espers stand against the ultimate forces of destiny     source  sentai filmworks,13.0,Spring 2010
4079,2018.0,24.0,Historical  Samurai,Action,Bakumatsu,Unknown,pg    teens  or older,Game,the bakumatsu was an era in which the souls of young men burned with anxiety for their country s future  takasugi shinsaku  a soldier of fortune from choshu  sneaks aboard a government ship with his comrade katsura kogorou in search of a mysterious  timepiece  with the power to manipulate time that he fears the government wishes to keep for themselves  rather than allow such power to fall into the wrong hands  takasugi plans to destroy the artifact  but having obtained it  the artifact is quickly stolen  forcing the pair to follow the mysterious thief to the seat of government in kyoto  however  when they arrive in the capital  they discover that the government has been overthrown and the deity susanoo now reigns in its place  the streets of the city and the people in them are much different than takasugi and katsura remembered  the times may have changed but their mission hasn t   takasugi and katsura resolve to reset time and save their nation from the nefarious forces trying to hijack it     source  tokyo otaku mode,12.0,Fall 2018
